	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	johanw	memory_alpha	imdb
10	10	10	10	113	The Big Goodbye	1	11	1988-01-09 0:00:00	THE BIG GOODBYE	The Big Goodbye	" In a pastiche of Philip Marlowe's ""The Long Goodbye"" and other detective films of the 40's, Picard enters the holodeck and the fictional world of the detective, Dixon Hill. Picard becomes the investigator involved in his latest case. Meanwhile, an alien probe shakes the ship and damages the holodeck controls accidentally turning the fantasy world into a deadly trap. This episode won a Peabody award.  "	The USS Enterprise-D is en route to a meeting with the Jarada on a diplomatic mission. Captain Picard has been appointed by Starfleet to attempt to establish a relationship with them; however, the captain must recite their complicated greeting to them, in their native tongue, without any errors, or otherwise the meeting will fail. The captain and Deanna Troi have been practicing the speech in his ready room for hours. Troi says that the captain should take a break and suggests trying out the new holodeck upgrades. Picard's face brightens when he remembers that he's been looking forward to trying out the new Dixon Hill holodeck program. Troi tells the captain that the program has been installed and is waiting. After entering the holodeck, Picard is impressed by the upgrades. He is met by a lady, Mrs. Jessica Bradley, in Dixon Hill's office, who claims someone is trying to kill her – Picard has been hired. 	Captain Picard and some of his crew are caught in a deadly trap in the holodeck as the result of a ship-wide scan from an alien race.
11	11	11	11	114	Datalore	1	12	1988-01-16 0:00:00	DATALORE	Datalore	The Enterprise travels to the Omicron Theta star system, where Data was discovered years, ago in order to investigate the disappearance of a colony. In a hidden cave, they find another robot, Data's twin brother Lore, and revive him. They discover, almost too late, that Lore is a megalomaniac and out to destroy the Enterprise.	"While passing by Omicron Theta en route to their next assignment, the USS Enterprise-D stops to investigate the site of Data's discovery. However, Data is in his quarters practicing sneezing. Wesley Crusher walks in on Data pretending to sneeze in front of a mirror and asks him if he has a cold. Data has never heard of such thing (at least not in reference to an illness) so Wesley says ""It's a disease my mom says people used to get."" Data acknowledges this fact, but presses that Humans sneeze for other reasons and he'd like to learn how to do it so he will better ""fit in"" with the crew. Wesley wonders out loud how Data could be practicing sneezing in a time like this; they're about to arrive at his home planet. Data clarifies that he is excited to see his point of origin, but that he is also interested in sneezing. They leave for the bridge. The crew learns of an entire Earth colony that disappeared from the planet twenty-six years ago, and the whole planet now appears dead. Riker leads an away team that beams down to the spot where Data was found by crewmembers from the USS Tripoli. For some reason, Data has been given the memories of all 411 colonists, and he is interested in learning why. "	The Enterprise visits the planet where Data was created and discovers another android like him, but when he's assembled, he's not exactly like him.
12	12	12	12	115	Angel One	1	13	1988-01-23 0:00:00	ANGEL ONE	Angel One	The Enterprise travels to a planet controlled entirely by women in order to search for survivors from a Federation ship which disappeared in that sector seven years earlier. The away team is thwarted in their efforts by the female-run government. Meanwhile, a highly contagious virus plagues the Enterprise.	"The USS Enterprise-D has discovered the wreckage of the Odin, a freighter that disappeared seven years earlier. It was disabled by a collision with an asteroid, and there are no life signs on board, but three escape pods have been discovered missing. The Enterprise travels to Angel I, the nearest class M planet, to search for the freighter's survivors. Angel I is a female-dominated society, ruled by six elected mistresses and a leader known simply as ""the Elected One"". It has been 62 years since the last Federation contact with the planet. The Enterprise hails the planet, and Captain Picard suggests Troi speak with the Elected One, Mistress Beata. Although initially wary, she agrees to let an away team beam down to visit the planet.  "	Riker, Troi, Data and Yar beam down to a planet ruled by a matriarchal government in the hopes of locating a missing freighter crew.
13	13	13	13	116	11001001	1	14	1988-01-30 0:00:00	11001001	11001001	The Enterprise docks at Starbase 74 for a refit. The maintenance crew, four Binars, program the antimatter containment to fail causing the crew to evacuate the ship in a panic. Meanwhile, Picard and Riker, in a Binar-enhanced program on the holodeck, are totally unaware of the situation. After the crew, except for Riker and Picard, leave the ship, the Binars hijack it to return to their home planet to save their computers from the effects of a supernova.	"The USS Enterprise-D has arrived and is preparing to dock at Starbase 74, in orbit around the planet Tarsas III, for a maintenance check and upgrades. The ship docks, and Captain Picard and Commander Riker go to meet the maintenance crews. The crews' leader, Commander Quinteros, greets them and tells them he was in charge of the team who constructed the Enterprise. Also with him are the Bynars, two aliens named One Zero and Zero One who work as a unified pair – neither male nor female. They have recently completed a successful upgrade to the computer aboard the USS Wellington, and will be upgrading the computers on the Enterprise, as well as making repairs to the holodeck. Riker and Picard discuss the Bynars on the way to the bridge. Apparently, over time they have become so interconnected with the master computer on their home planet that their thought patterns are as close to binary code as is possible. On their way back to the bridge, the two discuss their plans for the downtime. Picard plans to relax with an old novel in his quarters, but Riker hasn't decided yet, as he doesn't manage his time off very well. ""Something'll turn up. It always does"", he tells Picard. On the bridge, Wesley Crusher is watching the Bynars work. They have been joined by two more of their species. Picard goes to his ready room, and Riker tells Wesley to keep an eye on the Bynars, as he doesn't altogether trust them. He then leaves to take a walk around the ship. "	The Enterprise docks at a starbase for repairs where it is commandeered by a race of technologically-linked aliens intent on using the vessel for their own purposes.
14	14	14	14	112	Too Short a Season	1	15	1988-02-07 0:00:00	TOO SHORT A SEASON	Too Short A Season	Admiral Jameson is transported by the Enterprise to Mordan IV to negotiate with terrorists who have captured the Federation ambassadors. For some reason, they will talk only with the admiral. Meanwhile, the Admiral has taken a strange drug which is causing him to age backwards.	The USS Enterprise-D has been sent to Persephone V to confer with Admiral Mark Jameson. Starfleet received a subspace transmission from Karnas, the governor of Mordan IV two days previously. In it, he says that terrorists have taken the Federation Ambassador Hawkins and his staff hostage. They want to talk to a Federation negotiator, and in his opinion there is only one man qualified – Admiral Jameson. Captain Picard transmits the message to Jameson and asks that he come with them. Mordan is at peace after forty years of civil war and Picard wonders why Karnas would be unable to deal with this threat, having settled the civil war five years ago. Jameson was the man who negotiated the release of hostages from Mordan 45 years previously. Jameson beams aboard in a wheelchair with his wife, Anne. In the transporter room, Jameson warns Picard that Starfleet has designated him senior mission officer, and as such he will be in charge of the away team and the mission itself. However, Picard will still be in command of the Enterprise. Picard is slightly taken aback but agrees to this.  	The Enterprise transports an elderly Starfleet Admiral to negotiate a hostage crisis. When the Admiral takes a de-aging drug, he endangers both his life and the mission.
15	15	15	15	118	When the Bough Breaks	1	16	1988-02-14 0:00:00	WHEN THE BOUGH BREAKS	When The Bough Breaks	The Enterprise discovers the legendary planet of Aldea and the advanced civilization that lives there. The inhabitants have extraordinary technology including the ability to cloak their entire planet, but lack the capacity to have children. When the crew of the Enterprise refuse to trade some of the children from the ship for technology, the Aldeans kidnap Wesley and six other children from the ship.	Commander Riker walks down a corridor when Captain Picard contacts him and orders him to come up to the bridge. As he continues down the corridor, a young boy named Harry is running away from his father and runs directly into Riker. Harry falls to the floor and Riker helps him up. It turns out that Harry was running away because he refuses to study calculus any longer. Riker witnesses the confrontation between father and son before limping away into a turbolift to take him to the bridge. Entering the bridge, Picard informs Riker that the crew have been investigating faint energy readings coming from the nearby Epsilon Mynos system. Upon hearing the name of the system from Geordi La Forge, Riker now knows why Picard called him up to the bridge. The system is thought to contain the legendary mythical world of Aldea, a place Riker puts on par with Atlantis of Earth or Neinman of Xerxes VII. Lieutenant Yar is unfamiliar with the legend of Aldea and Riker explains that the inhabitants of Aldea were thought to be able to cloak their planet in darkness in order to hide it from marauders or hostile passersby. Then, all of a sudden, the crew of the USS Enterprise-D are witness to the revealing of the legendary planet Aldea. 	A planet that was able to cloak itself for thousands of years suddenly reveals itself, with its inhabitants proposing peace. But, after initial negotiations, children of the Enterprise are kidnapped due to the infertility of the inhabitants.
16	16	16	16	117	Home Soil	1	17	1988-02-21 0:00:00	HOME SOIL	Home Soil	The Enterprise visits a terraforming station on Velara III where they encounter a new life form which, after being beamed up to the Enterprise for examination, attempts to take over the Enterprise.	The USS Enterprise-D is on a mission to catalog young planets in the Pleiades Cluster. Along the way, they have been instructed by the Federation to check on the terraforming colony on Velara III, as they were behind schedule. Captain Picard calls down to the station, and after a minute or two of no answers from the planet, Director Kurt Mandl finally responds. On the viewscreen, the director insists there is no need for them to pay a visit as they are back on schedule. Counselor Troi senses that he is extremely nervous about something, especially when Picard insists that an away team be sent down to have a look around. Troi, Commander Riker, Lieutenant Yar, Lieutenant Commander Data, and Lieutenant La Forge beam to the facility.  	On Velara III, Geordi and Data discover a microscopic life form responsible for the death of an engineer stationed on the base.
17	17	17	17	119	Coming of Age	1	18	1988-03-12 0:00:00	COMING OF AGE	Coming Of Age	The Enterprise travels to Relva 7 where Wesley takes his entrance exams to enter Starfleet Academy. Meanwhile, an old friend of Picard's, now an admiral, arrives with an aide from the Inspector General's office to investigate the ship and its crew on the pretext that something is wrong on the Enterprise.	Wesley Crusher runs through a corridor to catch up with his friend Jake Kurland and tell him he's sorry that Jake didn't make the final exam for Starfleet Academy. Jake was short just 32 points, but says it is okay and wishes Wes the best, though he appears troubled as Wes leaves for Transporter room 8. The USS Enterprise-D is in orbit around Relva VII, where Wesley is taking the Starfleet Academy entrance exam. Captain Picard's old friend, Admiral Gregory Quinn is also at Relva and he requests to beam aboard immediately. He brings Lieutenant Commander Dexter Remmick with him, and wants a private meeting with Picard, on official business, much to the confusion of both Picard and Commander Riker. The three officers go directly to the ready room. 	Picard finds himself facing a strenuous test of his loyalty to Starfleet, one which the other members of the crew are struggling to cope with, whilst Wesley faces an equally challenging entrance exam at Starfleet Academy.
18	18	18	18	120	Heart of Glory	1	19	1988-03-19 0:00:00	HEART OF GLORY	Heart Of Glory	In the Neutral Zone, the Enterprise finds a Talarian ship with three Klingons aboard. The Klingons claim to be have been passengers on the ship but turn out to be dissidents, opposed to the Federation-Klingon peace. They attempt to get Worf to help them when a Klingon cruiser enters the area and demands the return of the criminals.	Starfleet Command sends a communication to the USS Enterprise-D about a disturbance in the Neutral Zone, a battle. There are no Federation vessels in the area, and Commander William T. Riker suggests that the Ferengi are involved. On arriving at the location of the battle, they find a vessel adrift without power. Data scans the debris from the explosions and speculates that the weapons used in the battle may have been Romulan in origin. The drifting vessel is identified as the Talarian freighter Batris, a cargo vessel. Riker has an away team consisting of Data, La Forge and himself beam over to the Batris after Worf detects possible life signs aboard. 	The Enterprise searches for answers as to why three Klingon warriors were the only survivors aboard a freighter just inside the Neutral Zone which was seemingly attacked by a Ferengi ship.
19	19	19	19	121	The Arsenal of Freedom	1	20	1988-04-09 0:00:00	THE ARSENAL OF FREEDOM	The Arsenal Of Freedom	The Enterprise arrives at Minos, a planet once inhabited by weapons manufacturers who have been destroyed by their own creations. Automated salesmen and weapons display systems still function and the away team is forced to fight for their lives against weapons that keep getting more sophisticated and intelligent as time passes. Meanwhile, in orbit around the planet, Geordi in command of the Enterprise is forced to fight another weapons system with the capability to cloak itself.	Arriving at Minos in the Lorenze Cluster to investigate the disappearance of the light cruiser USS Drake, the USS Enterprise-D enters orbit. Data explains to the bridge crew that the Minosians became famous during the Ersalrope Wars as arms merchants, manufacturing and selling highly advanced weaponry – to both sides in the war.  Discovering no life signs on the planet's surface more evolved than plants or animals, they are surprised by a hail from a peddler, which is soon realized to be an automated message from the time of the Wars. Commander Riker, Natasha Yar, and Data transport down to the planet's surface to investigate, Picard cautioning them that if the automated message system is still functioning, then there may well be automated weapons systems as well. 	The Enterprise encounters a planet long dead, but technical equipment still functions for the purpose of selling off its arsenal, along with self sufficiency.
20	20	20	20	123	Symbiosis	1	21	1988-04-16 0:00:00	SYMBIOSIS	Symbiosis	While investigating a sun with very strong magnetic-field fluctuations, the Enterpise intercepts a distress call and rescues a nearby freighter. Safely on board the Enterprise with their cargo, four of the inhabitants fight over ownership of the cargo - a very addictive narcotic.	The USS Enterprise-D is investigating unusual solar flares and magnetic activity in the Delos system. While taking a look at the enormous solar eruptions, the crew receive a distress signal from the Ornaran freighter Sanction orbiting the fourth planet of the system. The bridge crew, Captain Picard and Commander Riker in particular, are perplexed by the apparent incompetence of the freighter's crew. 	The Enterprise encounters two neighboring cultures, one suffering from a plague, the other marketing a cure, and learns that nothing is as simple as it seems.
